,n,d,dot_hal_time,dot_numpy_time,add_hal_time,add_numpy_time,sub_hal_time,sub_numpy_time,mul_hal_time,mul_numpy_time
0,25,25,0.010045766830444336,0.9317252635955808,6.914138793945312e-05,0.0014927387237548828,0.00013494491577148438,0.0015575885772705078,4.601478576660156e-05,0.0016520023345947266
1,25,50,0.004953622817993164,8.674227476119995,9.870529174804688e-05,0.003344297409057617,0.00025582313537597656,0.004517078399658203,7.224082946777344e-05,0.004288911819458008
2,25,75,0.006104230880737305,67.48829317092897,0.00024247169494628906,0.013285160064697266,0.0006487369537353518,0.010695219039916992,9.942054748535156e-05,0.00962066650390625
3,50,25,0.03114151954650879,8.023499727249147,0.0001373291015625,0.002018451690673828,0.0002486705780029297,0.0020117759704589844,0.0001003742218017578,0.0021965503692626953
4,50,50,0.029888153076171875,120.27502131462096,0.00022172927856445312,0.01300811767578125,0.0005178451538085939,0.014052152633666992,0.00021266937255859367,0.016015052795410156
5,50,75,0.0367279052734375,629.6019451618196,0.0003206729888916016,0.02974271774291992,0.0009000301361083984,0.0298762321472168,0.0002989768981933594,0.029388904571533207
6,75,25,0.06271982192993164,51.439627170562744,0.000949859619140625,0.009006500244140625,0.0014760494232177734,0.007711648941040039,0.0006413459777832031,0.008923530578613281
7,75,50,0.09981465339660643,663.5713591575623,0.0005247592926025392,0.03737831115722656,0.0010521411895751953,0.03713154792785645,0.0004396438598632813,0.03824782371520996
8,75,75,0.12582874298095706,2640.3014495372768,0.0006511211395263673,0.05975461006164552,0.0014455318450927734,0.0598757266998291,0.0006124973297119143,0.0590813159942627
0,100,50,0.3702533245086671,,0.0007374286651611327,,0.0015926361083984375,,0.0006837844848632812,
0,100,100,0.5181474685668945,,0.0024199485778808594,,0.003939628601074219,,0.0014710426330566404,
1,100,200,0.6948840618133545,,0.003062009811401367,,0.012234210968017578,,0.003464698791503907,
2,100,300,0.9143130779266356,,0.006591796875,,0.016431093215942383,,0.004705667495727539,
3,100,400,1.305938959121704,,0.005630254745483398,,0.02046036720275879,,0.009024620056152344,
1,200,50,1.502065658569336,,0.002911567687988281,,0.008705615997314453,,0.0037431716918945312,
4,200,100,2.240539312362671,,0.005912542343139648,,0.016455650329589844,,0.005689382553100586,
5,200,200,5.407966136932373,,0.028450965881347656,,0.0740656852722168,,0.032086849212646484,
6,200,300,8.146478891372679,,0.03446030616760254,,0.13179445266723633,,0.03435707092285156,
7,200,400,10.299860239028929,,0.044439077377319336,,0.4539148807525635,,0.04605984687805177,
2,300,50,4.128538370132446,,0.012102842330932615,,0.030127525329589844,,0.01039719581604004,
8,300,100,10.955612659454346,,0.02443456649780273,,0.0661928653717041,,0.024239063262939453,
9,300,200,17.865297317504886,,0.053488492965698235,,0.2294039726257324,,0.045539140701293945,
10,300,300,22.603114366531372,,0.078338623046875,,0.5873615741729736,,0.06559514999389647,
11,300,400,41.23421406745911,,0.2794325351715088,,1.733936071395874,,0.10155582427978516,
3,400,50,11.864418745040894,,0.02011203765869141,,0.05287480354309082,,0.017891645431518555,
12,400,100,26.21632957458496,,0.046842336654663086,,0.1221776008605957,,0.04737663269042969,
13,400,200,48.57236862182617,,0.07454681396484375,,0.2448194026947021,,0.09320425987243652,
14,400,300,66.08419680595398,,0.569448709487915,,3.0590610504150386,,0.17044711112976074,
15,400,400,99.28639125823976,,0.2622396945953369,,0.8795733451843262,,0.2177112102508545,
0,50,100,0.185835599899292,,0.0016787052154541016,,0.0025103092193603516,,0.001741647720336914,
1,50,200,0.10064220428466797,,0.0016062259674072266,,0.0037529468536376953,,0.0038728713989257812,
2,50,300,0.1224982738494873,,0.0032205581665039062,,0.006465911865234375,,0.0030870437622070312,
3,50,400,0.14502596855163574,,0.0030972957611083984,,0.0060672760009765625,,0.004201412200927734,
